DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1997-0340-GBR,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,Moray (Scotland),Heavy rain,,No,No,No,,,Km2,,,,1997,7,1,1997,7,2,1,,,,,,,,,98400,186788,52.67993394,,2006-07-09,2023-09-25
1997-0350-GBR,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,Scotland,,,No,No,No,,,Km2,,,,1997,8,13,1997,8,13,,,,,,,,,,150000,284738,52.67993394,,2003-07-01,2023-09-25
1998-0007-GBR,Yes,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,"Cilly, Désirée et Fanny",GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,South Wales,,,No,No,No,,185,Kph,,,,1998,1,1,1998,1,6,15,,3000,,3000,,,320000,598157,500000,934620,53.49768079,,2010-08-06,2023-09-25
1998-0419-GBR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,175,Kph,,,,1998,12,24,1998,12,25,8,,250000,,250000,,,165000,308425,200000,373848,53.49768079,,2007-05-06,2023-09-25
1998-0441-GBR,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Norhtampton, Worcestershire, Warwickshire, Avon",,,No,No,No,,,Km2,,,Avon,1998,4,9,1998,4,10,5,,300,,300,,,249500,466375,500000,934620,53.49768079,,2006-07-09,2023-09-25
1998-0451-GBR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,Wales,,,No,No,No,,130,Kph,,,,1998,10,24,1998,10,24,12,,,,,,,166400,311042,665400,1243792,53.49768079,,2003-07-01,2023-09-25
1999-0091-GBR,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Malton,Old Malton, Norton, Pickering, Stamford Bridge, Elvington towns (North and East Yorkshire)",Heavy rain and snow melt,,No,No,No,,,Km2,,,River Derwent,1999,3,7,1999,3,13,,,330,,330,,,,,32680,59779,54.66822084,,2005-10-25,2023-09-25
1999-0571-GBR,Yes,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Lothar,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,Kph,,,,1999,12,25,1999,12,27,8,,200,,200,,,,,100000,182922,54.66822084,,2007-05-07,2023-09-25
1999-0590-GBR,Yes,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Anatol,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,Kph,,,,1999,12,4,1999,12,5,3,,,,,,,,,1000,1829,54.66822084,,2007-05-07,2023-09-25
2000-0248-GBR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Lothian (Edinburgh), Grampian (Aberdeenshire) - Scotland region",,,No,No,No,,,Km2,,,,2000,4,27,2000,4,27,,,200,,200,,,,,,,56.51429056,"[{""adm2_code"":40171,""adm2_name"":""Grampian""},{""adm2_code"":40173,""adm2_name"":""Lothian""}]",2003-07-01,2023-09-25
